GroupID,UnitID,UnitName,Multiplier,Addition
1,0,None,1,0
1,26,l/min,1,0
1,182,Capsule,1,0
1,191,Geen,1,0
1,204,°,1,0
1,205,INR,1,0
1,210,o/oo,1,0
1,214,x TOT,1,0
1,215,kopie/ml,1,0
1,217,10^2 kopie/ml,1,0
1,223,Lik,1,0
1,230,/100 sp,1,0
1,231,/veld,1,0
1,232,BE,1,0
1,233,mmol/cel,1,0
1,234,mmol/portie,1,0
1,235,titer,1,0
1,296,mmol/L bloed /uur,1,0
1,297,,1,0
1,301,%,1,0
1,304,mbar.,1,0
1,305,L.,1,0
1,306,ml.,1,0
1,313,EIU,1,0
1,316,tablet,1,0
1,317,pufje,1,0
1,318,spray,1,0
1,319,sachet,1,0
1,320,Ampul,1,0
1,327,pleister,1,0
1,331,watts,1,0
1,332,fr,1,0
2,2,msec,1.66666595760034e-05,0
2,3,sec,0.0165999997407198,0
2,4,min,1,0
2,5,uur,60,0
2,37,jaar,525600,0
2,100,dag,1440,0
2,103,week,10080,0
2,275,maand,43200,0
2,333,.Uur,1,0
3,6,ml,1,0
3,8,l,1000,0
3,45,druppel,20,0
3,55,fl,9.99999996004197e-13,0
